;owner
02.04.2015;0
03.04.2015;0
04.04.2015;0
05.04.2015;0
06.04.2015;0
07.04.2015;0
08.04.2015;0
09.04.2015;0
10.04.2015;0
11.04.2015;0
12.04.2015;0
13.04.2015;0
14.04.2015;0
15.04.2015;0
16.04.2015;0
17.04.2015;0
18.04.2015;0
19.04.2015;0
20.04.2015;0
21.04.2015;0
22.04.2015;0
23.04.2015;0
24.04.2015;0
25.04.2015;0
26.04.2015;0
27.04.2015;0
28.04.2015;0
29.04.2015;0
30.04.2015;0
01.05.2015;0
02.05.2015;0
03.05.2015;0
04.05.2015;0
05.05.2015;0
06.05.2015;0
07.05.2015;0
08.05.2015;0
09.05.2015;0
10.05.2015;0
11.05.2015;0
12.05.2015;0
13.05.2015;0
14.05.2015;0
15.05.2015;580
16.05.2015;580
17.05.2015;580
18.05.2015;0
19.05.2015;1068
20.05.2015;814
21.05.2015;814
22.05.2015;552
23.05.2015;0
24.05.2015;0
25.05.2015;0
26.05.2015;0
27.05.2015;0
28.05.2015;545
29.05.2015;545
30.05.2015;546
31.05.2015;0
01.06.2015;0
02.06.2015;547
03.06.2015;45356
04.06.2015;86340
05.06.2015;161893
06.06.2015;218510
07.06.2015;267100
08.06.2015;314455
09.06.2015;352132
10.06.2015;391702
11.06.2015;417012
12.06.2015;446075
13.06.2015;478804
14.06.2015;541639
15.06.2015;572244
16.06.2015;607888
17.06.2015;618429
18.06.2015;647295
19.06.2015;671514
20.06.2015;706010
21.06.2015;752433
22.06.2015;782088
23.06.2015;804171
24.06.2015;795702
25.06.2015;803086
26.06.2015;820613
27.06.2015;850660
28.06.2015;853377
29.06.2015;854408
30.06.2015;869531
01.07.2015;890161
02.07.2015;913744
03.07.2015;914107
04.07.2015;932500
05.07.2015;941545
06.07.2015;975826
07.07.2015;1004703
08.07.2015;1045461
09.07.2015;1059551
10.07.2015;1063222
11.07.2015;1065742
12.07.2015;1071535
13.07.2015;1096590
14.07.2015;1108352
15.07.2015;1131382
16.07.2015;1127837
17.07.2015;1124739
18.07.2015;1120012
19.07.2015;1136798
20.07.2015;1162160
21.07.2015;1175753
22.07.2015;1177311
23.07.2015;1196852
24.07.2015;1213351
25.07.2015;1209668
26.07.2015;1206921
27.07.2015;1201477
28.07.2015;1214199
29.07.2015;1235064
30.07.2015;1264140
31.07.2015;1275231
01.08.2015;1264914
02.08.2015;1269289
03.08.2015;1300449
04.08.2015;1323792
05.08.2015;1342116
06.08.2015;1367416
07.08.2015;1386103
08.08.2015;1384628
09.08.2015;1385666
10.08.2015;1394202
11.08.2015;1403048
12.08.2015;1407088
